user_id,anime_id,rating
0, 115, 4
0, 118, 3
0, 607, 1
0, 1046, 1
0, 1630, 4
0, 2074, 5
0, 2207, 4
0, 2330, 5
0, 2464, 1
0, 2673, 1
0, 2806, 5
0, 2971, 2
0, 3230, 3
0, 3810, 3
0, 4028, 2
0, 4375, 5
0, 4459, 1
0, 5233, 1
0, 5314, 1
0, 5920, 5
1, 215, 1
1, 216, 2
1, 596, 5
1, 625, 5
1, 722, 2
1, 1070, 4
1, 1988, 1
1, 2059, 1
1, 3467, 3
1, 4069, 1
1, 4452, 3
1, 6505, 5
1, 7805, 3
1, 8258, 2
1, 8890, 5
1, 8891, 2
1, 9333, 2
1, 10928, 1
1, 16608, 4
1, 19559, 4
2, 1373, 5
2, 1520, 5
2, 1521, 1
2, 1983, 4
2, 2213, 3
2, 2405, 5
2, 2568, 1
2, 2915, 2
2, 3147, 4
2, 4461, 4
2, 4475, 3
2, 5365, 5
2, 5900, 2
2, 5916, 1
2, 5917, 2
2, 5936, 3
2, 6018, 2
2, 6211, 3
2, 6246, 1
2, 6728, 2
3, 3465, 4
3, 17117, 2
3, 31405, 5
3, 5469, 5
3, 6229, 4
3, 6230, 2
3, 7014, 2
3, 33129, 2
3, 578, 5
3, 989, 3
3, 1329, 2
3, 1824, 2
3, 2227, 5
3, 2500, 2
3, 2623, 5
3, 2624, 1
3, 2694, 1
3, 2753, 2
3, 2881, 2
3, 3089, 1
4, 2226, 5
4, 2642, 4
4, 2647, 1
4, 2738, 1
4, 2876, 5
4, 3201, 1
4, 3202, 1
4, 3518, 1
4, 3720, 4
4, 3751, 1
4, 3755, 5
4, 4023, 5
4, 4147, 1
4, 4599, 2
4, 4684, 3
4, 6094, 3
4, 6385, 2
4, 7625, 4
4, 8492, 4
4, 8494, 4
5, 8042, 4
5, 10323, 5
5, 11593, 5
5, 19049, 1
5, 19063, 1
5, 32483, 3
5, 33798, 1
5, 33845, 5
5, 183, 5
5, 1316, 5
5, 1512, 1
5, 2493, 2
5, 3482, 3
5, 3844, 5
5, 4339, 2
5, 5994, 3
5, 8522, 1
5, 9242, 5
5, 9243, 5
5, 9244, 2
6, 1100, 4
6, 1620, 3
6, 1919, 1
6, 17624, 4
6, 28595, 4
6, 109, 4
6, 111, 2
6, 424, 4
6, 705, 5
6, 765, 3
6, 974, 4
6, 1050, 2
6, 1138, 4
6, 1155, 4
6, 1159, 5
6, 1247, 1
6, 1796, 4
6, 1891, 3
6, 1892, 2
6, 2263, 1
7, 646, 1
7, 9675, 2
7, 13403, 3
7, 23251, 4
7, 135, 3
7, 1158, 2
7, 1440, 5
7, 2336, 4
7, 3861, 3
7, 3958, 4
7, 4038, 1
7, 5849, 1
7, 5978, 5
7, 7745, 5
7, 9127, 2
7, 10338, 1
7, 10765, 5
7, 10805, 2
7, 11013, 3
7, 13535, 2
8, 170, 3
8, 9077, 1
8, 16514, 4
8, 20583, 1
8, 28891, 2
8, 29755, 3
8, 30364, 4
8, 32935, 2
8, 1764, 3
8, 2498, 2
8, 2499, 1
8, 9078, 1
8, 1861, 3
8, 263, 4
8, 558, 4
8, 627, 1
8, 3053, 4
8, 3226, 3
8, 4053, 2
8, 5258, 1
9, 1982, 3
9, 4091, 1
9, 5299, 4
9, 6195, 3
9, 6935, 1
9, 7955, 4
9, 8178, 2
9, 9344, 4
9, 9777, 3
9, 9886, 1
9, 10407, 2
9, 10859, 2
9, 13083, 4
9, 13085, 2
9, 13177, 5
9, 13179, 3
9, 13283, 5
9, 13373, 4
9, 13375, 1
9, 13469, 4
10, 1030, 3
10, 1739, 5
10, 2616, 4
10, 3885, 2
10, 4458, 1
10, 4586, 3
10, 4709, 1
10, 5193, 1
10, 5241, 3
10, 5503, 3
10, 5594, 2
10, 5809, 2
10, 5987, 2
10, 6481, 2
10, 6482, 5
10, 6517, 2
10, 6518, 1
10, 6519, 2
10, 6522, 1
10, 6523, 5
11, 1982, 5
11, 4091, 1
11, 5299, 4
11, 6195, 4
11, 6935, 5
11, 7955, 1
11, 8178, 5
11, 9344, 2
11, 9777, 4
11, 9886, 1
11, 10407, 3
11, 10859, 2
11, 13083, 5
11, 13085, 3
11, 13177, 4
11, 13179, 4
11, 13283, 1
11, 13373, 4
11, 13375, 2
11, 13469, 1
12, 177, 4
12, 1866, 2
12, 207, 5
12, 7559, 1
12, 12565, 2
12, 249, 3
12, 4938, 5
12, 6811, 2
12, 356, 3
12, 515, 2
12, 1150, 5
12, 1691, 1
12, 2782, 1
12, 7364, 3
12, 7436, 4
12, 8086, 1
12, 9690, 4
12, 14513, 1
12, 18115, 4
12, 18311, 5
13, 211, 5
13, 368, 4
13, 753, 2
13, 827, 1
13, 828, 1
13, 830, 4
13, 1038, 2
13, 1113, 1
13, 1339, 5
13, 1360, 4
13, 1385, 4
13, 1386, 2
13, 1387, 4
13, 1388, 1
13, 1389, 4
13, 1401, 2
13, 1403, 2
13, 1404, 3
13, 1408, 5
13, 1499, 4
14, 211, 3
14, 368, 1
14, 753, 3
14, 827, 2
14, 828, 2
14, 830, 1
14, 1038, 2
14, 1113, 1
14, 1339, 3
14, 1360, 1
14, 1385, 2
14, 1386, 2
14, 1387, 1
14, 1388, 3
14, 1389, 2
14, 1401, 3
14, 1403, 4
14, 1404, 5
14, 1408, 3
14, 1499, 1
15, 1066, 2
15, 1196, 1
15, 2550, 4
15, 2743, 5
15, 2840, 4
15, 3575, 5
15, 3620, 3
15, 3956, 4
15, 4939, 3
15, 5118, 2
15, 5955, 1
15, 6064, 1
15, 7375, 4
15, 7568, 4
15, 7915, 4
15, 8189, 2
15, 8959, 2
15, 9562, 2
15, 9869, 4
15, 10249, 3
16, 1034, 3
16, 2158, 5
16, 3016, 5
16, 3067, 2
16, 5763, 3
16, 12029, 3
16, 23249, 4
16, 23931, 5
16, 31433, 4
16, 33064, 5
16, 90, 2
16, 91, 2
16, 1080, 4
16, 1091, 5
16, 1650, 1
16, 1651, 4
16, 1652, 5
16, 2273, 4
16, 2581, 3
16, 2582, 5
17, 1198, 5
17, 3159, 5
17, 4224, 2
17, 5799, 1
17, 6098, 2
17, 8524, 3
17, 8676, 3
17, 11235, 1
17, 11553, 2
17, 19495, 4
17, 20541, 2
17, 21405, 2
17, 21775, 3
17, 23701, 4
17, 24913, 5
17, 133, 4
17, 509, 3
17, 2180, 1
17, 2564, 1
17, 2771, 3
18, 964, 1
18, 1271, 4
18, 1741, 1
18, 2317, 1
18, 2525, 2
18, 2910, 1
18, 5234, 2
18, 5333, 2
18, 6287, 2
18, 7744, 1
18, 8041, 2
18, 8507, 2
18, 8599, 1
18, 9063, 5
18, 9499, 3
18, 13137, 2
18, 13781, 5
18, 15729, 2
18, 15881, 2
18, 18527, 4
19, 211, 1
19, 368, 2
19, 753, 5
19, 827, 3
19, 828, 2
19, 830, 1
19, 1038, 5
19, 1113, 5
19, 1339, 4
19, 1360, 5
19, 1385, 5
19, 1386, 5
19, 1387, 3
19, 1388, 4
19, 1389, 3
19, 1401, 1
19, 1403, 5
19, 1404, 1
19, 1408, 4
19, 1499, 5
20, 3673, 4
20, 301, 5
20, 1456, 3
20, 10194, 5
20, 30066, 3
20, 33191, 1
20, 1483, 3
20, 1910, 2
20, 2144, 3
20, 4087, 3
20, 4131, 1
20, 4332, 1
20, 4940, 2
20, 5581, 2
20, 5838, 2
20, 5871, 5
20, 6091, 4
20, 7304, 4
20, 8999, 5
20, 12139, 5
21, 1632, 1
21, 2374, 3
21, 2375, 3
21, 2432, 3
21, 2435, 4
21, 2871, 4
21, 2943, 5
21, 2982, 2
21, 2989, 5
21, 3048, 4
21, 3050, 5
21, 3303, 2
21, 3711, 5
21, 3922, 4
21, 4278, 4
21, 4653, 2
21, 4699, 4
21, 4816, 2
21, 5109, 1
21, 5154, 5
22, 485, 5
22, 580, 1
22, 673, 2
22, 983, 1
22, 1015, 4
22, 1075, 2
22, 1501, 2
22, 1597, 5
22, 1684, 2
22, 1752, 1
22, 1753, 5
22, 1754, 3
22, 1755, 5
22, 1756, 4
22, 1757, 5
22, 1758, 2
22, 1841, 4
22, 1856, 1
22, 1883, 2
22, 1884, 2
23, 9253, 3
23, 10863, 2
23, 11577, 4
23, 30484, 4
23, 32188, 3
23, 7598, 2
23, 12723, 4
23, 27387, 2
23, 1361, 4
23, 1812, 2
23, 1993, 4
23, 2455, 3
23, 3268, 1
23, 3463, 4
23, 3490, 1
23, 3684, 1
23, 4547, 5
23, 4907, 5
23, 4917, 4
23, 5133, 4
24, 574, 5
24, 5153, 4
24, 10751, 1
24, 19653, 2
24, 141, 1
24, 832, 1
24, 848, 5
24, 1055, 1
24, 1631, 3
24, 1975, 4
24, 2157, 2
24, 2182, 1
24, 2215, 3
24, 2310, 3
24, 2973, 1
24, 3252, 1
24, 3287, 5
24, 3305, 1
24, 3429, 1
24, 3772, 1
25, 994, 5
25, 1984, 2
25, 4941, 5
25, 5088, 3
25, 6172, 4
25, 6954, 3
25, 9846, 1
25, 10568, 1
25, 10755, 4
25, 11799, 2
25, 12433, 5
25, 17403, 3
25, 25267, 3
25, 28619, 1
25, 30187, 3
25, 32830, 1
25, 32946, 1
25, 33145, 5
25, 33377, 5
25, 244, 2
26, 22411, 2
26, 30036, 4
26, 31925, 2
26, 32264, 3
26, 32600, 3
26, 33175, 1
26, 1497, 2
26, 8230, 3
26, 29453, 5
26, 29615, 1
26, 30165, 5
26, 33203, 2
26, 748, 4
